烏弄,,(M),(L)
1,手採阿里山金萱,,45
2,金萱烏龍,,30
3,烏弄·四季春,,30
4,名間鄉冬片仔,,35
5,碧螺春·綠,,35
6,十八胭脂紅玉,,35
7,著涎金萱紅,,35
8,旺萊金萱紅(甜固),,55
9,旺萊水果茶(甜固),,60
10,檸檬冬片仔(冷/熱),,55
11,檸檬多多,,65
12,鮮百香多多,,65
13,桑莓紅玉,,65
14,桑莓鮮奶,70,
15,桑莓多多,,75
16,柚粒金萱,,65
17,柚香金萱,,55
18,柚粒多多,,70
19,楊桃烏龍(甜固＋冷/熱),,50
20,桂花凍楊桃汁,,55
21,合泰冬瓜露(冷/熱),,35
22,杏仁凍冬露,,50
23,檸檬冬露(冷/熱),,45
24,冬露鮮奶(冷/熱),,55
25,不苦蕎麥茶(冷/熱),,40
26,不苦蕎麥鮮奶(冷/熱),,65
27,黃金菊花茶(冷/熱),,50
28,菊花冬露(甜固＋冷/熱),,50
29,---- 香醇鮮乳 ----,,
30,玉霞紅茶拿鐵(冷/熱),45,60
31,碧螺春·綠拿鐵(冷/熱),45,60
32,珍珠紅茶拿鐵(冷/熱),45,60
33,杏仁凍紅茶拿鐵,50,65
34,粉珍椰·紅茶拿鐵(冷/熱),50,65
35,芋圓紅茶拿鐵(冷/熱),50,65
36,迦納可可拿鐵(甜固＋冷/熱),,75
37,黑糖鮮奶珍珠(甜固＋冷/熱),60,
38,鮮奶香芋圓(甜固＋冷/熱),70,
39,---- 原茶調飲 ----,,
40,杏仁凍冬片仔,,50
41,桂花凍胭脂紅,,50
42,菊花凍冬片仔,,50
43,冬露冬片仔(甜固＋冷/熱),,45
44,水里香梅子綠(冷/熱),,45
45,桂花凍梅子綠,,60
46,養樂多綠茶,,55
47,粉珍椰·四季春(冷/熱),,45
48,四季春·朵朵(冷/熱),,55
49,十八胭脂紅玉·朵朵(冷/熱),,60
50,---- 以下冰沙（甜固 660cc）----,,
51,可可脆片莎莎,,70
52,夏威夷莎莎,,70
53,桑莓莎莎,,70
54,可可脆片朵朵,,80
55,夏威夷朵朵,,80
56,桑莓朵朵,,80
57,---- 冬季熱飲(甜固 480cc) ----,,
58,桂圓紅棗茶,,55
59,黑糖薑母茶,,55
60,薑汁桂圓,,55
61,黑糖薑汁鮮奶,,60
62,胚芽杏仁茶,,55
63,黑芝麻杏仁茶,,60
64,黑芝麻鮮奶,,60
65,黑糖薑可可,,70
